Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR,YNPM,Q1_NPM,Q2_NPM,Q3_NPM,Q4_NPM,CTR
klse: SCGM Bhd,Crude Oil,4.6,4.2,2.39,4.55,7.35,61011,57223,49662,51636,10740,8674,5869,3638,9610,8266,6863,4181,219532,28920,0.88,0,14080,90230,124670,175520,1.38,0.79,0.07,0.164767548,0.710289426,1.250752051,13.17347813,8.097064064,13.81941927,14.44524055,15.75125797,15.59176136
klse: Maxim Global Bhd,Forest Products,5.8,5.5,6.26,4.97,6.4,103930,28346,106760,83358,41114,2654,19930,15685,36366,1805,14897,11784,322394,64075,0.51,217680,54950,8140,188840,412630,2.49,1.58,0.13,0.155284395,0.45764971,0.78131498,19.87474953,14.13661556,13.95372799,6.36774148,34.99085923,5.867042766
klse: Ann Joo Resources Bhd,Metal Fabrication,4.7,3.2,5.22,3.61,6.97,560212,345892,445672,603706,2606,-51883,-34874,-15993,-18916,-56721,-30558,19523,1955482,-86672,2.23,7510,39570,1040000,1200000,1100000,1.15,0.44,0.08,-0.078792727,1.090909091,1.777710909,-4.432257622,3.233858865,-6.856612038,-16.3984712,-3.376578867,49.41829669
klse: Mieco Chipboard Bhd,Forest Products,3.3,2.4,1.7,2.29,6.85,113463,63684,87824,110138,8447,-12211,-21982,-1617,8051,-12211,-27221,545,375109,-30836,0.65,0,24430,212190,334520,301110,0.7,0.43,0.09,-0.102407758,1.110956129,1.245754043,-8.220543895,0.494833754,-30.99494443,-19.17436091,7.095705208,15.35444126
klse: Borneo Oil Bhd,Construction,4.9,2.4,6.38,3.91,6.92,12038,16161,19722,29173,-5106,3294,-56,534,-5192,1442,-600,524,77094,-3826,0.13,0,9550,21490,57680,671810,3.21,2.29,0.42,-0.005695063,0.085857609,0.11475566,-4.962772719,1.796181401,-3.0422878,8.922715179,-43.13008805,8.072670157
klse: Paramount Corp. Bhd,Property Developer,6.8,6,7.69,7.78,5.81,218865,64198,122114,209622,36572,-1989,4263,37431,19816,-3701,466954,39116,614799,539140,1.88,0,324380,1050000,1280000,1430000,1.66,1.4,0.15,0.377020979,0.895104895,0.429929371,87.69370152,18.66025513,382.3918633,-5.764977102,9.053983049,1.895304889
klse: TDM Bhd,Agricultural Commodities,3.7,1.8,3.62,2.19,7.39,121420,83938,107824,121317,27716,-18413,-3494,11181,21752,-19090,-8280,-35054,434499,-35338,0.44,6240,137860,531470,978170,750850,1.35,1.26,0.32,-0.047063994,1.302750216,0.578676167,-8.133045185,-28.89454899,-7.679180887,-22.74297696,17.91467633,3.151740897
klse: Allianz Malaysia Bhd,Insurance,6.6,6.2,6.53,7.87,5.79,1530803,1404105,1484706,1405471,202231,248598,91947,188158,129065,167732,79500,133082,5825085,509379,20.77,366680,17180000,14160000,48750,15620000,6.24,0,0,0.032610691,0.003120999,0.372924776,8.744576259,9.468854213,5.354595455,11.94583026,8.431195915,0.339061991
klse: KPS Consortium Bhd,Paper,4.1,3.5,7.24,3.22,2.35,191977,96048,231491,239144,2548,-1588,853,-1308,1947,-1631,409,-197,758660,492,1.83,43150,29490,142370,207820,269860,1.56,1.16,0.21,0.001823168,0.770103016,2.811309568,0.064851185,-0.082377145,0.176680735,-1.698109279,1.014183991,25.72600882
klse: Nova MSC Bhd,Information Technology Services,3.8,2.4,1.77,3.94,6.95,9025,9225,6727,9800,71,536,-6136,109,130,650,-5780,239,34777,-5436,0.09,25360,11730,9570,24840,69890,2.09,2.09,0.45,-0.077779368,0.355415653,0.497596223,-15.6310205,2.43877551,-85.92240226,7.046070461,1.440443213,2.964791134
klse: Artroniq Berhad,Industrial Specialties,3.2,1.4,0.01,4.03,7.47,57762,30837,22964,26403,-1817,-747,-492,-669,-4253,-787,-543,-757,137966,-6340,0.15,0,6100,517,12500,35400,3.15,2.13,1.42,-0.179096045,0.353107345,3.897344633,-4.595335083,-2.867098436,-2.364570632,-2.552128936,-7.362972196,22.61737705
klse: OCB Bhd,Wholesale Distributors,4,2.3,6.31,4,3.23,89467,52631,68634,71849,4976,-1180,1057,-23246,4536,-1198,942,-24076,282581,-19937,1.81,26560,53930,41170,87690,186180,1.93,1.51,0.8,-0.107084542,0.470995811,1.517783865,-7.055322191,-33.50916505,1.372497596,-2.276225038,5.07002582,5.239773781
klse: Y.S.P. Southeast Asia Holding Bhd,Pharmaceuticals,6.1,5.9,6.39,7.03,5.1,72754,67728,80537,77116,1967,13729,9041,6758,260,11754,5741,3787,298135,21612,2.35,4870,104380,51620,141160,335450,5.21,3.16,1.69,0.064426889,0.42080787,0.888761365,7.249065021,4.910783754,7.128400611,17.35471297,0.357368667,2.856246407
klse: GFM Services Bhd,Internet Services,4.4,5.3,6.11,0.01,5.99,26909,26570,31084,24289,4331,4801,3718,466,1910,2062,1277,-3178,108852,2071,0.22,25330,139170,342930,409940,116930,3.83,3.83,3.16,0.017711451,3.505858206,0.930915933,1.902583324,-13.08411215,4.10822288,7.760632292,7.097996953,0.782151326
klse: Golden Pharos Bhd,Building Materials,3,0.5,4.67,3.35,3.37,18787,6885,5825,13415,3580,-2920,-3741,-5862,2847,-3066,-3580,-5300,44912,-9099,0.47,3220,14550,13790,52470,55620,1.29,1.1,0.66,-0.163592233,0.943365696,0.807479324,-20.25961881,-39.50801342,-61.45922747,-44.53159041,15.15409592,3.086735395
klse: Adventa Bhd,Ringgit,3.5,1,0.01,5.34,7.52,14466,46373,13674,11642,-5227,1579,908,-6057,-5227,1691,1008,-6457,86155,-9343,0.23,3620,22650,13920,38350,69640,2.44,2.09,1.21,-0.134161401,0.550689259,1.237148191,-10.84440833,-55.46297887,7.371654234,3.646518448,-36.13300152,3.803752759
klse: FoundPac Group Bhd,Semiconductor,4.3,3,1.61,5.14,7.36,12440,12415,11143,14532,4139,4758,4018,6619,3074,4215,3120,4646,50530,15846,0.18,12650,51140,219,7950,96010,12.67,11.96,9.28,0.165045308,0.082803875,0.526299344,31.35958836,31.97082301,27.99964103,33.95086589,24.71061093,0.988071959
klse: Digistar Corp. Bhd,Information Technology Services,2.7,1.7,2.51,0.01,6.41,10625,8952,15514,14276,-1157,352,580,1525,-1868,-772,-293,430,49367,-1034,0.07,990,73960,286460,316990,62580,2.37,2.29,1.5,-0.016522851,5.065356344,0.788862256,-2.09451658,3.012048193,-1.888616733,-8.623771224,-17.58117647,0.667482423
klse: Samchem Holdings Bhd,Wholesale Distributors,5.5,6,3.82,5.19,7.19,288610,201092,258426,294785,14695,12469,6461,10839,9514,8763,4326,6894,1042913,32533,0.57,0,103140,201030,258620,171610,1.51,1.11,0.2,0.1895752,1.507021735,6.077227434,3.119435658,2.338653595,1.673980172,4.35770692,3.296490073,10.11162498
klse: FSBM Holdings Bhd,Information Technology Services,1.3,0.5,0.01,3.3,1.25,32,32,32,32,-174,-140,-300,-45,-174,-145,-305,-45,128,-659,0.04,0,132,0,4650,4750,2.03,2.03,0.1,-0.138736842,0.978947368,0.026947368,-514.84375,-140.625,-953.125,-453.125,-543.75,0.96969697
klse: Kimlun Corp. Bhd,Engineering,7.2,8.1,7.99,7.19,5.47,211808,94002,245334,322972,8857,-11702,9410,23541,6350,-9739,6595,16721,874116,19876,2.12,0,41830,392150,694530,717330,1.73,1.42,0.1,0.027708307,0.968215466,1.21856886,2.273840085,5.177228986,2.688172043,-10.36041786,2.997998187,20.89686828
klse: My E.G. Services Bhd,Information Technology Services,4.6,3.8,0.99,4.79,8.66,136096,124336,121741,119692,70830,64017,58822,69494,70743,63058,58842,69283,501865,260268,0.15,18980,249830,177040,405980,822590,1.77,1.75,0.42,0.316400637,0.493538701,0.610103454,51.8601616,57.8844033,48.33375773,50.71580234,51.98021984,2.008826002
klse: Wegmans Holdings Bhd,Home Furnishings,4.5,4,2.63,4.58,6.66,30420,14101,21865,23442,5057,-1299,485,1991,4857,-1299,445,1011,89828,5014,0.16,0,9740,33110,57570,79900,1.84,1.12,0.69,0.062753442,0.720525657,1.124255319,5.58177851,4.312771948,2.035216099,-9.212112616,15.96646943,9.222587269
klse: APB Resources Bhd,Industrial Machinery,5,2.6,7.76,6.07,3.4,19456,14995,27124,27792,4818,-1387,727,558,3975,-1410,710,541,89367,3816,1.42,0,55800,1700,16460,156710,10.2,9.98,5.8,0.024350712,0.105034778,0.570269925,4.270032562,1.946603339,2.617608022,-9.403134378,20.43071546,1.60155914
klse: Federal International Holdings Bhd,Home Furnishings,4.8,4.9,5.19,4.31,4.78,21492,5861,21269,46174,1147,-1213,2278,3461,728,-352,1382,2285,94796,4245,0.98,18560,6450,17780,96080,106630,1.49,1.45,0.08,0.03981056,0.901059739,0.8890181,4.478037048,4.948672413,6.497719686,-6.005801058,3.387306905,14.69705426
klse: YTL Corp. Bhd,Utilities,4.2,2.6,4.42,2.53,7.37,4178828,3524912,4813551,5543805,136846,-124859,183901,186817,1293,-252226,29524,17540,18061096,-47875,1.17,8489550,14020000,45000000,53750000,12410,1.28,1.13,0.89,-3.857775987,4331.184529,1455.366317,-0.265072507,0.316389195,0.613351765,-7.155526152,0.03094169,1.288237946
klse: Pasukhas Group Bhd,Engineering,3.7,1.4,3.31,2.7,7.41,2568,2231,1398,3854,-2339,-1812,-2879,-5453,-2162,-1663,-2448,-5371,10051,-12422,0.08,0,4530,35170,66060,59380,1.79,1.43,0.21,-0.209195015,1.11249579,0.169265746,-123.5896926,-139.3617021,-175.1072961,-74.54056477,-84.19003115,2.218763797
klse: OpenSys (M) Bhd,Computer,4.7,3.9,1.67,5.11,8.1,23890,20058,17229,40158,4223,3543,2366,7014,3068,2574,1666,5079,101335,12417,0.21,0,25000,15910,40670,66020,2.1,1.72,0.81,0.18807937,0.616025447,1.534913663,12.25341688,12.64754221,9.669742875,12.83278492,12.84219339,4.0534
klse: Compugates Holdings Bhd,Wholesale Distributors,3.8,1.7,4.54,3.61,5.32,1199,1357,569,450,-1361,-1117,-1462,-4254,-1301,-1060,-1404,-3864,3575,-7674,0.04,0,885,4110,40060,100640,0.48,0.48,0.02,-0.076251987,0.398052464,0.035522655,-214.6573427,-858.6666667,-246.7486819,-78.11348563,-108.5070892,4.039548023
klse: Fintec Global Bhd,Consumer,7.4,5.7,9.37,5.51,9.08,4177,41443,6235,4160,720500,151008,54030,76491,720503,151009,54034,76492,56015,1002029,0.51,0,85960,34320,49040,1920000,1.35,1.31,0.89,0.521890104,0.025541667,0.029174479,1788.858342,1838.75,866.6238974,364.3775788,17249.29375,0.651640298
klse: BCM Alliance Bhd,Electronics,4.1,3.1,2.39,4.23,6.59,20386,14454,17659,22062,1996,674,1496,1052,1243,130,951,821,74561,3831,0.12,0,25250,7640,25910,51980,2.64,1.99,1.22,0.073701424,0.498460947,1.434417083,5.138074865,3.721330795,5.385355909,0.899405009,6.097321691,2.952910891
klse: Kretam Holdings Bhd,Agricultural Commodities,3.6,2.6,2.15,4.23,5.54,141695,102998,94274,120885,19324,16044,3802,14626,16991,14208,2472,11729,459852,45548,0.26,42780,32190,41590,159500,639320,1.79,0.8,0.19,0.071244447,0.249483827,0.719282988,9.904925933,9.702609919,2.622143963,13.79444261,11.99124881,14.28555452
klse: Berjaya Land Bhd,Ringgit,2.8,1.3,4.75,0.01,5.22,1455254,541582,1520849,1534169,22995,-144618,232680,11193,-41878,-136774,144180,-63730,5051854,4231,0.82,3609550,646390,4560000,7610000,4080000,1.41,1.16,0.18,0.00103701,1.865196078,1.23819951,0.083751431,-4.154040396,9.480231108,-25.25453209,-2.877710695,7.815489101
klse: Kumpulan Perangsang Selangor Bhd,Utilities,5.9,5.3,6.23,5.16,6.97,302335,221473,234388,297915,23512,-8635,11478,22572,16156,-11403,3137,17526,1056111,28647,1.78,439080,251380,589590,1080000,956240,1.86,1.53,0.64,0.02995796,1.129423576,1.104441354,2.71249897,5.882886058,1.338379098,-5.148708872,5.343741214,4.201253083
klse: Sarawak Oil Palms Bhd,Agricultural Commodities,5.2,4.9,5.21,4.56,6.2,794884,626060,518084,866758,106918,51513,96309,72607,73836,38342,71202,48880,2805786,243290,3.86,168250,862160,1180000,1770000,2310000,1.89,1.52,1.2,0.105320346,0.766233766,1.214625974,8.671010547,5.639405693,13.7433312,6.124333131,9.288902532,3.254368099
klse: IJM Corp. Bhd,Engineering,5.6,4,5.65,4.75,8.13,1428708,879803,2046953,1440362,161679,93152,96566,163588,99515,1271,71297,49767,5795826,336230,2.65,3887510,3020000,8040000,12820000,9680000,2.07,0.82,0.45,0.034734504,1.324380165,0.598742355,5.801243861,3.455173075,3.483079484,0.144464158,6.965384109,1.919147682
klse: D&O Green Technologies Bhd,Semiconductor,3.6,2.4,0.01,3.85,8.22,158858,89162,118189,150465,20030,983,5491,18960,14731,686,3914,13853,516674,37114,0.32,34540,71830,113210,227610,361000,1.75,0.97,0.32,0.102808864,0.630498615,1.431229917,7.183252883,9.206792277,3.311644908,0.769386061,9.273061476,7.193011277
klse: Mycron Steel Bhd,Steel,4,2.4,5.8,3.48,4.19,156004,92221,145938,173979,5359,-5774,-2742,-3052,3885,-4386,-3489,-3115,568142,-7105,1.18,20000,34550,85430,248160,385860,1.43,0.6,0.18,-0.018413414,0.643134816,1.472404499,-1.25056764,-1.790445973,-2.390741274,-4.755966645,2.490320761,16.4440521
klse: Oversea Enterprise Bhd,Restaurants,2.2,0.7,0.01,3.77,4.41,14036,2070,10440,10470,3334,-2135,-5255,-1027,3168,-2205,-5417,-1118,37016,-5572,0.2,70,4740,3600,14260,46530,1.83,1.26,0.95,-0.119750698,0.306468945,0.795529766,-15.05295008,-10.67812798,-51.88697318,-106.5217391,22.57053292,7.8092827
klse: Harbour-Link Group Bhd,Transportation,6.2,6.6,6.61,6.41,5.41,133804,132925,156909,164588,14623,4561,3665,14460,9340,3504,2272,11927,588226,27370,1.05,0,159800,96270,193670,419350,2.58,2.3,1.24,0.065267676,0.46183379,1.402708954,4.652973517,7.246579337,1.447973029,2.636072973,6.980359332,3.681013767
klse: Maxim Global Bhd,Forest Products,5.8,5.5,6.26,4.97,6.4,103930,28346,106760,83358,41114,2654,19930,15685,36366,1805,14897,11784,322394,64075,0.51,217680,54950,8140,188840,412630,2.49,1.58,0.13,0.155284395,0.45764971,0.78131498,19.87474953,14.13661556,13.95372799,6.36774148,34.99085923,5.867042766
klse: Compugates Holdings Bhd,Wholesale Distributors,3.8,1.7,4.54,3.61,5.32,1199,1357,569,450,-1361,-1117,-1462,-4254,-1301,-1060,-1404,-3864,3575,-7674,0.04,0,885,4110,40060,100640,0.48,0.48,0.02,-0.076251987,0.398052464,0.035522655,-214.6573427,-858.6666667,-246.7486819,-78.11348563,-108.5070892,4.039548023
klse: Niche Capital Emas Holdings Bhd,Consumer Services,3.1,1.4,0.01,3.86,7.18,4527,4892,4568,591,211,-715,-1071,-360,211,-846,-1071,-360,14578,-2066,0.04,0,1280,388,5990,31360,6.26,1.58,0.22,-0.065880102,0.191007653,0.464859694,-14.17204006,-60.91370558,-23.44570928,-17.29354047,4.660923349,11.3890625
klse: Subur Tiasa Holdings Bhd,Forest Products,3.1,2.2,6.39,0.93,2.9,93742,71650,78457,84358,5584,-12877,-5315,4099,1995,-26340,-1025,2201,328207,-23152,2.88,23310,5060,713750,879360,535780,0.25,0.08,0.01,-0.043211766,1.641270671,0.612577924,-7.05408477,2.609118282,-1.306448118,-36.76203768,2.128181605,64.86304348
klse: KPS Consortium Bhd,Paper,4.1,3.5,7.24,3.22,2.35,191977,96048,231491,239144,2548,-1588,853,-1308,1947,-1631,409,-197,758660,492,1.83,43150,29490,142370,207820,269860,1.56,1.16,0.21,0.001823168,0.770103016,2.811309568,0.064851185,-0.082377145,0.176680735,-1.698109279,1.014183991,25.72600882
klse: Pasdec Holdings Bhd,Construction,3.4,1.7,5.33,3.44,3.07,15330,6184,5108,8206,-1477,827,-918,-13932,-4220,-3634,-2628,-14883,34828,-30136,0.82,0,18360,36050,183460,325020,1.48,0.51,0.06,-0.092720448,0.564457572,0.107156483,-86.52808085,-181.3672922,-51.44870791,-58.76455369,-27.52772342,1.896949891
klse: IJM Plantations Bhd,Agricultural Commodities,4,3.3,4.07,3.67,5.13,211370,205985,195393,237812,-2430,115298,-73438,33303,-1040,82116,-76387,20063,850560,19896,1.35,0,267400,921650,1160000,1350000,1.64,1.28,1.03,0.014737778,0.859259259,0.630044444,2.339164786,8.436496056,-39.094031,39.86503872,-0.492028197,3.180852655
klse: WMG Holdings Bhd,Forest Products,3.3,1.3,5.43,1.02,5.24,16635,7502,9652,19568,-625,-1962,-4653,-1632,-632,-1926,-4795,-4402,53357,-11755,0.43,0,9140,230830,258960,177970,0.92,0.28,0.07,-0.066050458,1.455076698,0.299808957,-22.03084881,-22.49591169,-49.67882304,-25.67315383,-3.799218515,5.837746171
klse: Notion Vtec Bhd,Electronic Components,5.5,3.6,5.19,4.54,8.67,69572,40052,62316,70339,4191,-11344,-3540,17766,6738,-10855,-3757,14166,242279,6292,0.84,3660,47790,65100,106720,412660,4.38,3.39,1.55,0.015247419,0.25861484,0.587115301,2.597005931,20.1396096,-6.028949227,-27.10226705,9.684930719,5.069658924
klse: XiDeLang Holdings Ltd.,Apparel,7.1,3.7,10,6,8.57,67192,69140,83388,126301,2411,1971,8352,12949,541,378,4919,7846,387234,17155,0.78,0,522180,7510,62460,874190,12.45,12.43,10.94,0.01962388,0.071448999,0.4429632,4.430137849,6.212144005,5.898930302,0.546716806,0.805155376,0.741571872
klse: UEM Edgenta Bhd,Construction,5.6,4.9,4.35,7.66,5.34,482907,448469,501872,712264,-15151,-16323,20308,126257,-19012,-26914,11156,97488,2145512,68049,1.89,733890,514340,536630,1250000,1480000,1.9,1.75,0.7,0.045979054,0.844594595,1.44967027,3.171690487,13.68705985,2.222877546,-6.001306668,-3.936989938,4.171388576
klse: ATA IMS Bhd,Consumer Services,4.1,3.9,1.75,3.04,7.53,1337721,743993,719207,865083,67685,22647,3403,30113,52291,17757,2614,20103,3666004,92765,0.56,76410,415760,676650,1300000,683710,1.34,1.01,0.32,0.13567887,1.901390941,5.361928303,2.53041186,2.323823263,0.363455862,2.386716004,3.908961585,8.81759669
klse: Chin Hin Group Property Bhd,Transportation,3.8,3.4,3.15,2.87,5.96,33411,30082,35210,43393,2688,1322,4775,1589,1223,1013,1130,1476,142096,4828,0.4,0,3950,76120,134630,120380,1.12,0.65,0.04,0.04010633,1.118375145,1.180395415,3.397702961,3.401470283,3.209315535,3.36746227,3.660471102,35.97367089
klse: OpenSys (M) Bhd,Computer,4.7,3.9,1.67,5.11,8.1,23890,20058,17229,40158,4223,3543,2366,7014,3068,2574,1666,5079,101335,12417,0.21,0,25000,15910,40670,66020,2.1,1.72,0.81,0.18807937,0.616025447,1.534913663,12.25341688,12.64754221,9.669742875,12.83278492,12.84219339,4.0534
klse: Cheetah Holdings Bhd,Apparel,4.7,3.1,6.27,5.14,4.27,27903,20765,25269,38228,1748,1663,-3793,1312,1748,1859,-3793,1312,112165,1126,1.08,0,42430,1450,6430,124460,21.05,11.07,7.77,0.009047083,0.051663185,0.901213241,1.003878215,3.432039343,-15.01048716,8.952564411,6.264559366,2.643530521
klse: Berjaya Sports Toto Bhd,Construction,4.2,5.8,1.77,2.69,6.34,1345864,475059,1333491,1408017,101447,-45478,74341,95394,67854,-43265,48611,61938,4562431,136442,0.55,691480,307770,1480000,2120000,737830,1.22,0.82,0.28,0.184923356,2.873290595,6.183580229,2.990554816,4.398952569,3.645393932,-9.107289831,5.0416684,14.82415765
klse: Golden Pharos Bhd,Building Materials,3,0.5,4.67,3.35,3.37,18787,6885,5825,13415,3580,-2920,-3741,-5862,2847,-3066,-3580,-5300,44912,-9099,0.47,3220,14550,13790,52470,55620,1.29,1.1,0.66,-0.163592233,0.943365696,0.807479324,-20.25961881,-39.50801342,-61.45922747,-44.53159041,15.15409592,3.086735395
klse: BIMB Holdings Bhd,Construction,5.8,6.1,5.31,5.75,6.2,1332009,1144691,1244072,1352457,220408,252260,321833,266607,135810,153026,209237,180858,5073229,814681,3.34,63220,19270000,56590000,57430000,5130000,0.44,0,0,0.158807212,11.19493177,0.988933528,16.05843143,13.37255085,16.8187211,13.36832385,10.19587705,0.263270835
klse: NWP Holdings Bhd,Forest Products,2.6,0.4,0.01,3.86,6.31,2263,548,1063,2014,-1311,-965,-1721,-1027,-1311,-965,-1721,-1027,5888,-5024,0.08,260,1400,111,6660,32070,2.3,1.05,0.45,-0.156657312,0.20767072,0.183598379,-85.32608696,-50.99304866,-161.9002822,-176.0948905,-57.93194874,4.205714286
klse: Berjaya Assets Bhd,Gloves,3.3,2.2,4.86,2.92,3.27,50763,36118,63853,73758,-5174,-118221,-9273,1746,-7560,-118327,-12273,1939,224492,-143164,0.79,13410,52420,765670,1260000,2010000,1.07,0.39,0.18,-0.071225871,0.626865672,0.111687562,-63.77242842,2.628867377,-19.22071007,-327.6122709,-14.89273684,4.282563907
klse: Ibraco Bhd,Construction,5.1,7,6.4,5.58,1.48,84929,55778,71503,138652,14568,8057,7716,24744,10708,5485,5413,18113,350862,39101,0.73,0,31640,248640,368550,371450,2.01,0.71,0.07,0.10526585,0.992192758,0.944573967,11.14426755,13.06364135,7.570311735,9.833626161,12.6081786,11.0891909
klse: Chemical Co. of Malaysia Bhd,Chemicals,4.3,3.2,2.79,3.89,7.4,106325,103884,96630,99293,1191,13,3730,5080,-1581,-709,2175,3074,406132,4371,1.93,94110,108460,219220,297730,316390,2.08,1.85,1.04,0.013815228,0.941022156,1.283643604,1.076251071,3.095887928,2.250853772,-0.68249201,-1.486950388,3.744532547
klse: Matrix Concepts Holdings Bhd,Property Developer,7.4,8.1,6.83,9.49,5.41,262012,162024,472143,278962,102604,42728,95222,91359,75063,31055,55579,65332,1175141,221626,1.93,0,243470,389700,805400,1640000,2.03,1.15,0.25,0.135137805,0.491097561,0.71654939,18.85952409,23.41967723,11.77164545,19.16691354,28.64868785,4.826635725
klse: Pansar Bhd,Forest Products,3.6,2.4,2.01,4.82,5.11,72644,51731,79474,89492,1195,-932,-535,3848,600,-767,-528,2837,293341,2054,0.39,11320,39700,20240,78940,177010,2.75,2.18,0.61,0.011603864,0.445963505,1.657200158,0.700208972,3.170115765,-0.664368221,-1.482669966,0.825945708,7.388942065
klse: China Ouhua Winery Holdings Ltd.,Consumer,4.8,2.1,7.58,4.64,4.82,4114,3128,1106,2596,-919,-274,-817,-272,-873,-262,-776,-276,10944,-2282,0.19,0,13560,0,1840,123520,79.41,65.08,9.63,-0.018474741,0.014896373,0.088601036,-20.85160819,-10.63174114,-70.16274864,-8.375959079,-21.22022363,0.807079646
klse: MNC Wireless Bhd,Marketing Services,4.3,1.5,4.49,4.99,6.1,7566,4397,4262,5685,-3403,-3254,379,1000,-3545,-3461,38,861,21910,-6107,0.07,2000,63020,1130,11340,77120,6.67,6.67,5.74,-0.079188278,0.147043568,0.284102697,-27.8731173,15.14511873,0.891600188,-78.7127587,-46.8543484,0.347667407
klse: Magna Prima Bhd,Engineering,3,1.8,4.59,2.73,2.76,4174,267,1987,9269,-4399,-2160,-7057,-9603,-4616,-1663,-7006,-11848,15697,-27429,1.46,0,2460,201040,358720,475670,0.46,0.07,0.02,-0.057663927,0.754136271,0.032999769,-174.7403963,-127.8239292,-352.591847,-622.8464419,-110.5893627,6.380894309
klse: BCM Alliance Bhd,Electronics,4.1,3.1,2.39,4.23,6.59,20386,14454,17659,22062,1996,674,1496,1052,1243,130,951,821,74561,3831,0.12,0,25250,7640,25910,51980,2.64,1.99,1.22,0.073701424,0.498460947,1.434417083,5.138074865,3.721330795,5.385355909,0.899405009,6.097321691,2.952910891
klse: Notion Vtec Bhd,Electronic Components,5.5,3.6,5.19,4.54,8.67,69572,40052,62316,70339,4191,-11344,-3540,17766,6738,-10855,-3757,14166,242279,6292,0.84,3660,47790,65100,106720,412660,4.38,3.39,1.55,0.015247419,0.25861484,0.587115301,2.597005931,20.1396096,-6.028949227,-27.10226705,9.684930719,5.069658924
klse: Sungei Bagan Rubber Co. (Malaya) Bhd,Financial Services,5.7,4.8,8.47,6.37,3.24,4511,5914,2544,3054,11284,8118,-21301,8948,11254,10017,-21320,8929,16023,8880,8.51,0,124080,2940,15300,564220,40.36,40.28,39.57,0.015738542,0.027117082,0.028398497,55.42033327,292.3706614,-838.0503145,169.3777477,249.4790512,0.129134429
klse: GDB Holdings Bhd,Construction,4.6,4.5,1.73,5.49,6.8,95910,38908,99884,108844,10083,5057,7381,10244,7483,3939,5724,7976,343546,23986,0.19,1290,86310,0,94890,124170,1.91,1.91,0.73,0.193170653,0.76419425,2.766739148,6.981888888,7.327918856,5.730647551,10.12388198,7.802106141,3.980373074
klse: Berjaya Assets Bhd,Gloves,3.3,2.2,4.86,2.92,3.27,50763,36118,63853,73758,-5174,-118221,-9273,1746,-7560,-118327,-12273,1939,224492,-143164,0.79,13410,52420,765670,1260000,2010000,1.07,0.39,0.18,-0.071225871,0.626865672,0.111687562,-63.77242842,2.628867377,-19.22071007,-327.6122709,-14.89273684,4.282563907
klse: Kobay Technology Bhd,Industrial Machinery,4.4,5,3.98,4.67,3.92,39103,48550,48089,49939,7759,8458,8806,9860,5230,6231,6447,6932,185681,25018,1.94,100,48820,42260,86310,198310,2.61,2.15,0.82,0.126156018,0.435227674,0.936316878,13.47364566,13.88093474,13.40639231,12.83419156,13.37493287,3.803379762
klse: Globaltec Formation Bhd,Metal Fabrication,5.1,3.6,6.3,4.79,5.66,36348,19977,42427,49077,22187,-1915,1505,1443,10746,-1355,-42,1746,147829,17364,0.89,27410,56170,20910,87110,238570,1.45,1.11,0.77,0.072783669,0.365133923,0.619646225,11.74600383,3.557674674,-0.098993565,-6.78280022,29.56421261,2.631814136
klse: MMC Corp. Bhd,Engineering,6.2,6.6,8.12,2.81,7.25,1118501,990683,1086834,1098089,123777,128097,114806,192184,60927,77360,57882,68086,4294107,315152,3.04,2329960,3150000,12930000,16350000,9330000,0.75,0.73,0.41,0.033778349,1.752411576,0.460247267,7.339174362,6.200408164,5.325744318,7.808754163,5.447201209,1.363208571
klse: Eonmetall Group Bhd,Industrial Machinery,5.3,4.7,6.34,3.38,6.65,45998,17857,21490,45431,3122,267,1505,4249,2731,28,1272,5602,130776,9619,1.31,0,14190,176570,200880,243330,1.34,0.66,0.12,0.039530679,0.825545555,0.537442979,7.355325136,12.33078735,5.919032108,0.156801254,5.937214662,9.216067653
klse: Tomei Consolidated Bhd,Consumer Services,5.3,4.8,6.29,3.17,7.12,180631,76129,127800,136507,19833,2540,5415,4689,13604,1891,4006,2675,521067,21834,1.55,0,13690,183500,205420,215500,1.83,0.2,0.09,0.101317865,0.953225058,2.417944316,4.190248087,1.959606467,3.13458529,2.48394173,7.53137612,38.06186998
klse: Hua Yang Bhd,Property Developer,5,4.6,8.1,3.12,4.21,32446,16610,58023,72525,-5126,-4698,-76420,2084,-5663,-4859,-78717,1529,179604,-87773,1.39,16910,26790,301270,535590,479610,1.47,0.46,0.02,-0.183009112,1.116719835,0.374479264,-48.87029242,2.108238538,-135.6651673,-29.25346177,-17.45361524,6.704143337
klse: MHC Plantations Bhd,Agricultural Commodities,4.3,4,5.28,3.32,4.45,95604,77805,69128,85744,11667,6939,1012,2993,5243,2562,1261,55,328281,13924,1.26,43870,44950,142490,221840,248350,0.87,0.62,0.34,0.056066036,0.893255486,1.321848198,4.241488237,0.06414443,1.824152297,3.292847503,5.484080164,7.303248053
